sq_ft,bedrooms,baths,acreage,neighborhood_rating,yr_built,car_garage,price
2696,5,4.5,.88,5,1978,2,899900
2952,4,2.5,.63,5,1970,2,599000
3406,5,3.5,.89,4,1966,1,599900
2646,4,2.5,.62,4,1975,2,560000
2391,5,4.0,.80,3,2007,2,634000
1712,5,3.0,.15,2,1975,0,375000
3144,5,3.5,2.5,2,1996,1,539000
2058,4,2.2,.29,3,2009,2,515000
1013,4,2.0,.20,2,1970,1,259000
3717,5,3.5,.47,5,1988,2,738000
1680,4,3.0,.25,3,1984,1,399500
2226,4,2.5,.27,4,1972,2,535000
2692,4,2.5,.37,3,1993,2,525000
1074,4,2.5,.18,3,1980,0,329000
1260,4,2.0,.26,2,1955,0,299000